ID,time,logVol,group,model,treatment_1,treatment_2,Model,Tumor_Type
X-1004_BYL719 + LEE011,0,5.698769933,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,3,6.033565723,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,7,6.247268881,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,11,6.378086567,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,15,6.37331979,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,18,6.418854213,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,22,6.482801494,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,26,6.612981453,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,30,6.655955018,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,32,6.678845133,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719 + LEE011,35,6.769297486,combi,X-1004,BYL719,LEE011,X-1004,BRCA
X-1004_BYL719,0,5.315174484,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,7,5.369241705,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,11,5.516649361,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,14,5.56221891,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,18,5.497577977,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,21,5.577463108,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,25,5.665041646,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,28,5.860501283,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,32,5.981919134,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,35,6.19990047,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,39,6.573819822,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_BYL719,42,6.782192056,mono,X-1004,BYL719,NA,X-1004,BRCA
X-1004_LEE011,0,5.279644101,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,3,5.070161273,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,6,5.068275074,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,10,5.209486153,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,13,5.110178924,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,17,5.293304825,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,20,5.510602175,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,24,5.542047551,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,27,5.586499314,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,31,5.504924949,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,34,5.549076085,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,37,5.675040006,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,41,5.797272818,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,44,5.858218828,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,48,5.954800563,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,51,6.021023349,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,55,6.117656572,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,59,6.218002331,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,62,6.369044452,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,65,6.619005971,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,69,6.858670071,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,73,6.898108902,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_LEE011,77,6.995124925,mono,X-1004,LEE011,NA,X-1004,BRCA
X-1004_untreated,0,5.366443196,control,X-1004,NA,NA,X-1004,BRCA
X-1004_untreated,3,5.708438286,control,X-1004,NA,NA,X-1004,BRCA
X-1004_untreated,6,5.780743516,control,X-1004,NA,NA,X-1004,BRCA
X-1004_untreated,13,5.969730055,control,X-1004,NA,NA,X-1004,BRCA
X-1004_untreated,17,6.447147371,control,X-1004,NA,NA,X-1004,BRCA
X-1004_untreated,20,6.593455409,control,X-1004,NA,NA,X-1004,BRCA
X-1004_untreated,24,6.75588533,control,X-1004,NA,NA,X-1004,BRCA
X-1004_untreated,27,6.937702355,control,X-1004,NA,NA,X-1004,BRCA
X-1004_untreated,29,7.271147611,control,X-1004,NA,NA,X-1004,BRCA
X-1004_BYL719 + LJM716,0,5.301312876,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,4,5.143416405,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,11,5.506144214,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,15,5.508173024,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,18,5.604330396,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,22,5.56221891,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,25,5.545567993,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,29,6.049733455,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,32,6.431008969,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_BYL719 + LJM716,34,6.616332887,combi,X-1004,BYL719,LJM716,X-1004,BRCA
X-1004_LJM716,0,5.294309345,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,4,5.195176608,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,11,5.488937726,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,15,5.559527119,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,18,5.545958389,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,22,5.809642865,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,25,5.998936562,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,29,6.37041455,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,32,6.613652639,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716,34,6.733282837,mono,X-1004,LJM716,NA,X-1004,BRCA
X-1004_LJM716 + trastuzumab,0,5.361761539,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,3,5.491826113,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,6,5.44802964,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,13,5.415211118,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,17,5.515845179,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,20,5.627621114,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,24,5.938591058,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,27,6.067035734,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,31,6.3157196,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_LJM716 + trastuzumab,34,6.542760103,combi,X-1004,LJM716,trastuzumab,X-1004,BRCA
X-1004_trastuzumab,0,5.431973751,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,3,5.356114465,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,6,5.217649463,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,13,5.225208895,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,17,5.296315364,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,20,5.478135793,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,24,5.384953673,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,27,5.56681662,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,31,5.94463496,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,34,6.520768392,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1004_trastuzumab,36,6.629759476,mono,X-1004,trastuzumab,NA,X-1004,BRCA
X-1008_BYL719,0,5.551796118,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,4,5.253320001,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,7,5.414766179,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,12,5.488524418,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,15,5.458308103,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,18,5.453182077,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,22,5.321545493,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,25,5.414321042,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,29,5.206750173,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,32,5.185708422,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,36,5.266826699,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,39,5.330784557,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,43,5.248601774,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,46,5.259056653,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,50,5.245443877,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,53,5.187385806,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,57,4.887337078,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,60,4.850466542,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,63,4.810557016,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,67,4.780802755,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,71,4.806477043,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,74,4.738826571,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,78,4.843399375,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719,88,4.553876892,mono,X-1008,BYL719,NA,X-1008,BRCA
X-1008_BYL719 + LEE011,0,5.361292166,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,4,5.164785974,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,8,5.201255654,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,11,4.933034048,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,15,4.945207489,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,25,5.04407007,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,29,4.994505912,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,32,4.96144505,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,36,5.10533923,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,39,5.097424424,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,43,4.917056947,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,46,4.934473933,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,49,4.968423445,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,53,4.981549713,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,56,5.036303041,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,60,5.067645549,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,63,5.122772794,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,67,5.280153396,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,71,5.262690189,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,74,5.160777953,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,78,5.26217192,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,81,5.317139121,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,85,5.25801607,combi,X-1008,BYL719,LEE011,X-1008,BRCA
X-1008_BYL719 + LEE011,88,5.395444077,combi,X-1008,BYL719,LEE011,X-1008,BRCA
