ID,time,logVol,group,model,treatment_1,treatment_2,Model,Tumor_Type
X-1655_BKM120,0,5.316795588,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,3,5.658261959,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,8,6.032558505,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,11,5.669398048,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,16,5.768320996,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,19,5.741880763,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,23,5.968886572,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,26,6.192914484,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,30,6.13491533,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120,32,6.325075551,mono,X-1655,BKM120,NA,X-1655,CM
X-1655_BKM120 + encorafenib,0,5.322033893,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_BKM120 + encorafenib,3,5.382612558,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_BKM120 + encorafenib,8,5.924416212,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_BKM120 + encorafenib,11,6.003887067,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_BKM120 + encorafenib,15,6.263626808,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_BKM120 + encorafenib,18,6.318012703,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_BKM120 + encorafenib,22,6.947360534,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_BKM120 + encorafenib,28,6.899783589,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_BKM120 + encorafenib,30,7.138152459,combi,X-1655,BKM120,encorafenib,X-1655,CM
X-1655_encorafenib,0,5.252796851,mono,X-1655,encorafenib,NA,X-1655,CM
X-1655_encorafenib,2,5.4016859,mono,X-1655,encorafenib,NA,X-1655,CM
X-1655_encorafenib,6,5.651049548,mono,X-1655,encorafenib,NA,X-1655,CM
X-1655_encorafenib,9,5.905116586,mono,X-1655,encorafenib,NA,X-1655,CM
X-1655_encorafenib,14,6.324108035,mono,X-1655,encorafenib,NA,X-1655,CM
X-1655_encorafenib,17,6.459951402,mono,X-1655,encorafenib,NA,X-1655,CM
X-1655_encorafenib,22,6.784841604,mono,X-1655,encorafenib,NA,X-1655,CM
