ID,time,logVol,group,model,treatment_1,treatment_2,Model,Tumor_Type
X-0933_BKM120,0,5.521860838,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,7,5.17501915,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,10,5.196284641,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,14,5.195730778,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,17,5.472270674,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,21,5.623295224,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,24,5.574812093,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,29,5.797576354,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,34,5.699439725,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,37,5.749074464,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,40,5.701112246,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,43,5.722277057,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,50,5.874087679,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,56,5.958166262,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,59,5.990464047,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120,62,5.980150787,mono,X-0933,BKM120,NA,X-0933,CRC
X-0933_BKM120 + LJC049,0,5.478553417,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_BKM120 + LJC049,5,5.497168225,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_BKM120 + LJC049,8,5.52744299,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_BKM120 + LJC049,11,5.795145481,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_BKM120 + LJC049,14,5.934364955,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_BKM120 + LJC049,21,5.960747574,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_BKM120 + LJC049,27,6.125776885,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_BKM120 + LJC049,30,6.544918533,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_BKM120 + LJC049,33,6.540163823,combi,X-0933,BKM120,LJC049,X-0933,CRC
X-0933_LJC049,0,5.562602861,mono,X-0933,LJC049,NA,X-0933,CRC
X-0933_LJC049,4,6.062621741,mono,X-0933,LJC049,NA,X-0933,CRC
X-0933_LJC049,11,6.614189263,mono,X-0933,LJC049,NA,X-0933,CRC
X-0933_LJC049,14,6.783098674,mono,X-0933,LJC049,NA,X-0933,CRC
X-0933_LJC049,19,7.169503969,mono,X-0933,LJC049,NA,X-0933,CRC
X-0933_LJC049,24,7.432838774,mono,X-0933,LJC049,NA,X-0933,CRC
X-0933_untreated,0,5.375741264,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,3,5.671259283,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,6,5.862778539,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,14,6.246300545,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,17,6.255750042,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,21,6.41656887,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,24,6.478970366,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,28,6.758907182,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,31,6.873577827,control,X-0933,NA,NA,X-0933,CRC
X-0933_untreated,36,6.953588695,control,X-0933,NA,NA,X-0933,CRC
X-0933_BYL719,0,5.560296942,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,3,5.507767591,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,7,5.152134856,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,10,4.740574823,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,15,4.796616651,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,20,5.353278925,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,23,5.386786015,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,29,5.384036242,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,36,5.79848641,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,42,5.910254492,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,45,6.01980902,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,51,6.154433375,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,56,6.239690879,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,59,6.272688309,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,62,6.257475999,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,64,6.247075289,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,69,6.412967033,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719,72,6.453624999,mono,X-0933,BYL719,NA,X-0933,CRC
X-0933_BYL719 + binimetinib,0,5.316157285,combi,X-0933,BYL719,binimetinib,X-0933,CRC
X-0933_BYL719 + binimetinib,4,5.310245937,combi,X-0933,BYL719,binimetinib,X-0933,CRC
