ID,time,logVol,group,model,treatment_1,treatment_2,Model,Tumor_Type
X-010_BYL719 + HSP990,0,5.361761539,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,3,5.343768629,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,7,5.180096735,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,10,5.248601774,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,14,5.614222398,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,16,5.547518452,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,21,5.730424406,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,26,5.82511476,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,30,5.360352757,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,34,5.473949935,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,37,5.365976015,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,41,5.624017506,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,44,5.571393287,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,48,5.529825834,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,52,5.560296942,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,58,5.659482216,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,63,5.853351245,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,66,5.972026853,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,69,5.886659433,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,72,5.84151337,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,77,6.170656211,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,80,6.036198878,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,84,6.102782283,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,87,6.071199515,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719 + HSP990,91,6.025141073,combi,X-010,BYL719,HSP990,X-010,GC
X-010_BYL719,0,5.295814236,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,4,5.40222683,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,7,5.424950017,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,11,5.524257005,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,14,5.709101636,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,18,5.936744335,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,21,5.981666705,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,24,6.018349876,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,30,6.26606138,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,34,6.590163676,mono,X-010,BYL719,NA,X-010,GC
X-010_BYL719,38,6.781738438,mono,X-010,BYL719,NA,X-010,GC
X-010_HSP990,0,5.621849092,mono,X-010,HSP990,NA,X-010,GC
X-010_HSP990,3,5.850476854,mono,X-010,HSP990,NA,X-010,GC
X-010_HSP990,7,6.308826774,mono,X-010,HSP990,NA,X-010,GC
X-010_HSP990,10,6.810913928,mono,X-010,HSP990,NA,X-010,GC
X-010_HSP990,14,7.195937226,mono,X-010,HSP990,NA,X-010,GC
X-010_untreated,0,5.523059639,control,X-010,NA,NA,X-010,GC
X-010_untreated,3,5.638354669,control,X-010,NA,NA,X-010,GC
X-010_untreated,6,5.746522628,control,X-010,NA,NA,X-010,GC
X-010_untreated,9,5.840932313,control,X-010,NA,NA,X-010,GC
X-010_untreated,12,5.720311777,control,X-010,NA,NA,X-010,GC
X-010_untreated,15,6.103005922,control,X-010,NA,NA,X-010,GC
X-010_untreated,19,6.327758196,control,X-010,NA,NA,X-010,GC
X-010_untreated,24,6.759371273,control,X-010,NA,NA,X-010,GC
X-010_untreated,28,7.017058014,control,X-010,NA,NA,X-010,GC
X-010_untreated,33,7.445767963,control,X-010,NA,NA,X-010,GC
X-010_BYL719 + LJM716,0,5.696086268,combi,X-010,BYL719,LJM716,X-010,GC
X-010_BYL719 + LJM716,3,6.16793569,combi,X-010,BYL719,LJM716,X-010,GC
X-010_BYL719 + LJM716,7,6.481883361,combi,X-010,BYL719,LJM716,X-010,GC
X-010_BYL719 + LJM716,10,6.713320654,combi,X-010,BYL719,LJM716,X-010,GC
X-010_BYL719 + LJM716,14,7.101758341,combi,X-010,BYL719,LJM716,X-010,GC
X-010_BYL719 + LJM716,16,7.101016776,combi,X-010,BYL719,LJM716,X-010,GC
X-010_BYL719 + LJM716,21,7.184022449,combi,X-010,BYL719,LJM716,X-010,GC
X-010_LJM716,0,5.658087515,mono,X-010,LJM716,NA,X-010,GC
X-010_LJM716,3,6.056315519,mono,X-010,LJM716,NA,X-010,GC
X-010_LJM716,7,6.666447757,mono,X-010,LJM716,NA,X-010,GC
X-010_LJM716,10,6.724553335,mono,X-010,LJM716,NA,X-010,GC
X-010_LJM716,14,6.90545263,mono,X-010,LJM716,NA,X-010,GC
X-010_LJM716,16,6.792344427,mono,X-010,LJM716,NA,X-010,GC
X-010_LJM716,21,7.066040258,mono,X-010,LJM716,NA,X-010,GC
X-010_INC280,0,5.356114465,mono,X-010,INC280,NA,X-010,GC
X-010_INC280,3,5.406274508,mono,X-010,INC280,NA,X-010,GC
X-010_INC280,7,5.867317554,mono,X-010,INC280,NA,X-010,GC
X-010_INC280,10,5.699104885,mono,X-010,INC280,NA,X-010,GC
X-010_INC280,14,6.446830314,mono,X-010,INC280,NA,X-010,GC
X-010_INC280,16,6.256709274,mono,X-010,INC280,NA,X-010,GC
X-010_INC280,21,6.761919931,mono,X-010,INC280,NA,X-010,GC
X-010_INC280 + trastuzumab,0,5.387243576,combi,X-010,INC280,trastuzumab,X-010,GC
X-010_INC280 + trastuzumab,4,5.407171771,combi,X-010,INC280,trastuzumab,X-010,GC
X-010_INC280 + trastuzumab,7,5.506956232,combi,X-010,INC280,trastuzumab,X-010,GC
