ID,time,logVol,group,model,treatment_1,treatment_2,Model,Tumor_Type
X-1156_BKM120,0,5.27504874,mono,X-1156,BKM120,NA,X-1156,NSCLC
X-1156_BKM120,1,5.441551535,mono,X-1156,BKM120,NA,X-1156,NSCLC
X-1156_BKM120,2,5.547128665,mono,X-1156,BKM120,NA,X-1156,NSCLC
X-1156_BKM120,7,6.28133173,mono,X-1156,BKM120,NA,X-1156,NSCLC
X-1156_BKM120,10,6.282079814,mono,X-1156,BKM120,NA,X-1156,NSCLC
X-1156_BKM120,13,6.353848166,mono,X-1156,BKM120,NA,X-1156,NSCLC
X-1156_BKM120,17,6.773652294,mono,X-1156,BKM120,NA,X-1156,NSCLC
X-1156_BKM120,20,7.063476154,mono,X-1156,BKM120,NA,X-1156,NSCLC
X-1156_BKM120 + binimetinib,0,5.033700567,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,2,5.45275372,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,7,5.581991418,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,10,5.427150238,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,13,5.783517443,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,17,5.866468057,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,21,6.060057339,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,24,6.266251332,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,27,6.352106612,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,31,6.684361696,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_BKM120 + binimetinib,34,7.132816989,combi,X-1156,BKM120,binimetinib,X-1156,NSCLC
X-1156_binimetinib,0,4.982921456,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,4,5.553734478,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,7,5.557985693,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,10,5.47478851,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,14,5.497577977,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,18,5.836855429,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,21,5.97609707,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,24,6.150389526,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,28,6.219197551,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,35,6.385700173,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,40,6.55478774,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,42,6.618338369,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_binimetinib,46,6.705026912,mono,X-1156,binimetinib,NA,X-1156,NSCLC
X-1156_untreated,0,5.231643233,control,X-1156,NA,NA,X-1156,NSCLC
X-1156_untreated,2,5.593967609,control,X-1156,NA,NA,X-1156,NSCLC
X-1156_untreated,7,6.165207748,control,X-1156,NA,NA,X-1156,NSCLC
X-1156_untreated,13,6.724913587,control,X-1156,NA,NA,X-1156,NSCLC
X-1156_untreated,17,7.157346,control,X-1156,NA,NA,X-1156,NSCLC
X-1156_untreated,20,7.464452526,control,X-1156,NA,NA,X-1156,NSCLC
X-1156_BYL719 + LGH447,0,5.93462961,combi,X-1156,BYL719,LGH447,X-1156,NSCLC
X-1156_BYL719 + LGH447,2,5.889154928,combi,X-1156,BYL719,LGH447,X-1156,NSCLC
