ID,time,logVol,group,model,treatment_1,treatment_2,Model,Tumor_Type
X-0991_INC424 + binimetinib,0,5.471009374,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,2,5.443715569,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,6,5.316648323,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,9,5.33945931,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,12,5.309751744,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,16,5.24807615,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,20,5.431973751,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,22,5.377128547,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,27,5.413430174,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,34,5.255409866,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,41,5.265277512,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,44,5.395897695,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,49,5.455748374,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,51,5.392262979,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,55,5.437209365,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,62,5.400422589,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,65,5.408516159,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,68,5.44975007,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,71,5.107156861,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,76,5.370638028,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,82,4.986342602,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,85,5.220355825,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,90,5.336576079,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424 + binimetinib,93,4.973279508,combi,X-0991,INC424,binimetinib,X-0991,PDAC
X-0991_INC424,0,5.302309388,mono,X-0991,INC424,NA,X-0991,PDAC
X-0991_INC424,2,5.314190716,mono,X-0991,INC424,NA,X-0991,PDAC
X-0991_INC424,6,5.483966713,mono,X-0991,INC424,NA,X-0991,PDAC
X-0991_INC424,9,5.552184091,mono,X-0991,INC424,NA,X-0991,PDAC
X-0991_INC424,13,5.65459223,mono,X-0991,INC424,NA,X-0991,PDAC
X-0991_INC424,17,5.675725877,mono,X-0991,INC424,NA,X-0991,PDAC
